Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveller Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Amazing trip!,It was too cold in the room!,"The hotel was okay with great rooms and nice staff. The breakfast was delicious, good coffee. The hotel is located close to the main attractions.",9.0,January 2023,8 February 2023,Standard Room with Sea View,3,Couple,8.3,1,1,0,0,1,0,1,0,1,0,0.001221718569546999
Three nights stay in Tromsø,"The room was a bit too warm, but overall this was a minor issue.","The room with the carpeting was great when traveling with a dog. The standard room was perfect (size-wise) for a couple and a dog. The beds were great and the views also ok. The location of the hotel was on point and the staff were truly nice. Breakfast was excellent. In general, great place for a weekend stayover.",10.0,October 2021,11 October 2021,Small Room,2,Couple,8.3,1,1,0,0,1,0,1,0,1,0,0.0012217185695469989
"Excellent stay, would visit again. Loved Tromso.","The room could be bigger, but it was okay.","The best location in Tromsø, majority of the tours leave in front of the hotel.
Comfortable bed and stunning view.
Excellent breakfast.
Totally recommend.",10.0,March 2024,25 March 2024,Premium Room with Sea and Mountain View,6,Family,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
Very good,The bathroom was not particularly clean.,"Very good location,  nice breakfast with a good coffee available to order. Comfortable beds.",8.0,July 2023,4 July 2023,Standard Room with Sea View,1,Family,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
Very good,The bedroom was very small,"Location is great, breakfast amazing, very clean and most tours start from the front of the hotel",8.0,December 2022,29 December 2022,Small Room,2,Couple,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
Great place to stay,"How long it takes for the door to lock, it took an age. If you close the door & walk away there is nothing to stop someone  accessing your room!!","Location is excellent as is the breakfast. Huge selection including some dishes cooked to orde
Room was comfortable & the bathroom was a little tight & not keen on showing inside a bath
Overall we were extremely impressed",10.0,March 2024,19 March 2024,Standard Room,2,Couple,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
Very good,rooms poky with a small bathroon where the shower soaks whole floor,Central location with good views. comfortable bed and nice arranged breakfast.,8.0,July 2023,6 July 2023,Small Room,1,Couple,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
Great location and one of the more affordable hotels.,very small rooms.,great location and comfortable beds. breakfast was also good.,8.0,December 2022,30 December 2022,Standard Room,3,Family,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
Exceptional,I didn't like the size of the room. for the price I paid I expected something alot bigger.,the room was comfortable but was very small. the view was fantastic. food delicious.,10.0,January 2023,19 January 2023,Small Room,2,Family,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
Superb,The shower is without a full cover and the a bit expensive for the dimension offered. I would have loved more comfortable beds.,"This hotel is in a perfect location, very clean and with a very good breakfast. This is my first time i am giving such high rate at the hotel in an evaluation.",9.0,December 2023,2 January 2024,Standard Room with Sea View,2,Group,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
Very good,"I think the small room is suitable for two people, and I think that in that case it would be a little cramped.","The breakfast was nice, as could be expected for that price. The room looked really nice and was very comfortable (I stayed in the small room by myself). The shower was excellent. The television was a large size (but not too large), it had a chromecast attached. The view from the room was good. There was a machine to get ice cubes in the hallway.",8.0,July 2023,25 July 2023,Small Room,1,Solo traveller,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
Excellent for our short stay in central location,Room was very small - double bed was the width of the room but ok for our short 2 night stay. I wouldn't have wanted to stay in that room longer.,"Nice location - breakfast options very good, easy to catch local buses outside hotel, beds comfortable.",8.0,July 2022,22 July 2022,Small Room,2,Couple,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
"perfect location, delicious breakfast","the shower wets all the bathroom, they could make something to fix it and they could also put fabric curtains in the rooms","the location is perfect, most tours leave in front of the hotel and everything is within walking distance. the rooms are comfortable, with all the amenities you need and breakfast is delicious, with lots of options.
we had a few problems with the cleaning one day and with a guy from the reception, but as soon as the manager knew about this, he made everything he could to fix it and to make our stay better. if we came back, we would definitely stay there again",8.0,February 2022,23 March 2022,Standard Room,4,Couple,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
"Clean and well-located hotel, but with small rooms.",Room was very small and quite expensive for the size.,Breakfast was very good but also very busy. Room was tidy and bed very comfortable. Location was excellent.,7.0,October 2021,2 November 2021,Small Room,2,Couple,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
"Wonderful hotel, but don't take 10 square meters room for more than 1 person.",Room I had is too small for 2 people.,"Clean room, fjord view, excellent breakfast",9.0,July 2023,5 August 2023,Small Room,1,Couple,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
Unforgettable experience,"Booking process, room size, room price","Location, breakfast, cleanliness",7.0,January 2023,24 January 2023,Small Room,3,Couple,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
Very good,price rooms difference where in standard room there was no bathrobe for the sauna,"location & cleanliness 
breakfast",8.0,February 2022,14 February 2022,Standard Room,1,Couple,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
Very good,The rooms were rather small,"Beds were really comfortable and the location was perfect.
Breakfast was good too.",8.0,December 2022,27 December 2022,Small Room,3,Couple,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
a wonderful location with the best breakfast and staff. I would stay here again.,"I booked a 3 person room, I expected a real bed for the 3rd person and price.","fantastic location. comfortable beds, and great breakfast.",9.0,November 2022,20 November 2022,Superior Room,5,Family,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
Amazing stay,The room  and bathroom was a bit small but we made it work.,Good breakfast.  Amazing view in our room . Close to restaurant. Very close to pick up on tours.they let us check in early ….,9.0,April 2024,24 June 2024,Standard Room with Sea View,3,Family,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
Exceptional,There was no hairdryer in the room,Very good situated hotel with gorgeous view from the room and great breakfast,10.0,September 2021,12 September 2021,Superior Room with Sea View,2,Couple,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
"Perfect stay, amazing breakfast and TOP location!",The bathrooms are a bit too tiny - everything would be ideal if they’d be sightly bigger,Very nice and clean room with very comfortable bed.The breakfast is amazing and the location simply TOP.,9.0,March 2022,1 March 2022,Standard Room,3,Couple,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
Okay la.,It’s noisy outside . We need to tell the cleaners every time to clean up something.They were a bit lazy.,"The beds were clean and the breakfast was okay.
The location was great.",6.0,December 2023,24 December 2023,Family Room (2 Adults + 2 Children),4,Family,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
Loved it,Air condition or fan our room was a little stuffy hot and couldn’t open window because of seagulls,Sabastian and the girls at front desk were great . Location awesome . Hotel excellent. Breakfast great. Bed super comfortable,10.0,June 2022,17 June 2022,Standard Room,3,Family,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
Very good,Temperature in the bedrooms tricky to control. We would have liked to turn the air con off but couldn’t work out how. To be fair to them we also didn’t ask.,"Great location, really great breakfast, modern rooms and a lovely view of the city.",8.0,February 2022,16 February 2022,Standard Room,2,Couple,8.3,1,1,0,0,0,0,1,0,1,0,0.001186568223371635
I would stay there again.,"The room overall was a bit small, especially the bathroom. There was no closet or enough space to open up luggage. Not a deal breaker, but I did not think that the price corresponded with the room.","The hotel was close to everything, so location was great! The room was okay in size, but could’ve been bigger. The staff was really nice and the breakfast was really good! Overall, the hotel was clean.",9.0,January 2024,18 January 2024,Standard Room,3,Group,8.3,1,1,0,1,1,0,1,0,1,0,0.0011834211282232188
Very good,Room small for price with little space for storage/hanging clothes etc and very small bathroom.,Great breakfast choices. Location very good in harbour. Staff helpful and rooms clean and beds comfortable.,8.0,March 2024,13 March 2024,Standard Room with Sea View,4,Family,8.3,1,1,0,1,1,0,1,0,1,0,0.0011834211282232188
Very good,"General room cleaning: The floor was dirty. We found some chocolate on the floor from possibly previous residents. 
The hairdryer - It was in a dirty bag.","First Impression - We had a warm welcome from the reception. Questions replied in a formal, kind and professional way. 
Access to rooms - They have two lifts operating normally. 
Room in general - We have selected a room with sea view and it was definitely a good chioce. It was worth the additional money that we paid. 
Bed - The sheets were clean, pillows comfortable, matress comfortable. 
Bathroom - Clean floors, clean shower area, clean toilet. 
Breakfast - Delicious with many varieties. The staff in the restaurant very kind. 
Parking - We used the underground parking which we accessed via tunnel. We parked at Hall 3 and we reached the hotel by walking about in 7 minutes. The price was way cheaper than the harbour parking area which is actually just 1 minute walk from the hotel. After parking you get a ticket and pay for it before you leave parking area. Payment by card possible. Really convenient parking options in Tromso.",8.0,July 2022,22 July 2022,Superior Room with Sea View,2,Family,8.3,1,1,1,0,1,0,1,0,1,0,0.001178694942258222
Very good,The room and bathroom were a little small and TV chanel access a little limited.,"Reception and bar staff were very helpful, the hotel was very clean and up to date. Breakfast was good. Location was excellent for food, drinks, harbour and excursion pick up.",8.0,November 2023,11 November 2023,Small Room,2,Family,8.3,1,1,1,0,1,0,1,0,1,0,0.0011786949422582218
Superb,Standard room is as small as a cruise ship cabin.  Desk (male) staff rather indifferent  and not particularly helpful.,Very good location.  Good restaurants very close by..  Bed and pillows very comfortable.  Jasmine was extremely helpful and went out of her way to resolve an issue not related to our hotel stay.,9.0,August 2023,27 August 2023,Standard Room,3,Family,8.3,1,1,0,0,1,1,1,0,1,0,0.0011777332519768535
Excellent customer service. Good breakfast.,"The gym is quite small for a 4 star hotel and considering the big number of rooms exisiting in the hotel and might become a little bit too crowded. Because is small obviously doesn't have many equipment, but you can manage your workout. 

Also the breakfast is quite repetitive, the swedish buffet part. Might be added some extras especially for vegetarians, vegans and pescatarians.","The staff was really nice and helpful, patient, willing to provide all the necessary information. The room was clean and cleaned every day. Even if the room was small, was quite cosy with a really nice view over the harbour. We we're lucky enough to get a room to the 10th floor. The breakfast was very good and delicious. The is also a small menu where you can order a couple of dishes. Also, the hotel is a great option as a meeting point for many tours/trips.",9.0,March 2022,30 March 2022,Small Room,5,Couple,8.3,1,1,0,1,1,0,1,1,1,0,0.0011646362989136433
Amazing Location,"No restaurant for dinner, no dine-in services, room was not warm.","Location was brilliant, hotel was a hub for touristic tours, friendly staff, good room services, nice view.",7.0,March 2022,7 March 2022,Standard Room,5,Family,8.3,1,1,0,0,1,1,1,1,1,0,0.0011593704014785983
Amazing view :) great stay!,"Heating didn't work in both rooms I stayed in and it was quite cold/made water noises - receptionist said it will take a long time to warm up but never did.
Small room but I think that is the norm in Norway.","Amazing view of the harbour from my room!!! Stayed twice in 2 different basic rooms and once was fantastic, once was ok (building in front but could see harbour while sitting on the bed by window).
Beautiful stylish room, very comfortable.
Very quiet! Very clean.
Great location - right in front of airport bus stop and many tours pick up from the hotel or just outside.
Fantastic breakfast with thoughtful lactose free options! Thank you!
Sauna was fantastic and had it alone the two times I went (and what a view from the gym!)
Good service.
Bed abuts against the window but I loved it as it was like a window seat and great for lounging on and looking out the window.",10.0,March 2024,19 March 2024,Small Room,2,Solo traveller,8.3,1,1,1,1,1,0,1,0,1,0,0.0011534903663955156
Location second to none,"Crowds outside during excursion pick ups, beds are narrower than standard single in UK. Quite expensive per night rate compared to other locations, but reasonable for Norway.","Modern decor, excellent location, friendly staff, view from room, good breakfast.",8.0,December 2022,2 January 2023,Standard Room with Sea View,3,Family,8.3,1,1,0,0,1,0,1,0,1,1,0.0011516268080364622
This was our second stay at the Radisson Blu and we will use it again .,,Excellent location in the centre of the city and close to the Airport bus stop. The breakfasts were very good . Our room was a bit tight but we were pleased to see that the bathroom had a bath as well as a shower. Very helpful staff who were happy to direct us to interesting shops and where best to see the Northern Lights from the dark spot viewpoints.,8.0,February 2022,13 February 2022,Standard Room,2,Family,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
10 out of 10,,"awesome location, room was much bigger than expected, breakfast is amazing, very friendly and helpful personnel, special thanks to Tom ( if I’m not mistaken), he made our stay unforgettable. will definitely stay again if we were ever back to Tromso. Thank you so much",10.0,December 2022,30 January 2023,Small Room,1,Couple,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Exceptional,,"Very nice hotel with great staff and huge breakfast buffet, also got a room with a very nice sea view!",10.0,October 2022,14 October 2022,Standard Room,3,Family,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Amazing Location,,"The location was perfect, it is near the harbor, close to the shops and restaurants. Close to all pick up points for tours. Very clean, comfortable and the staff were very friendly.",10.0,November 2021,5 November 2021,Small Room,2,Couple,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Great quality and value hotel in excellent location.,"Tried getting served at the pub, waited for 10 minutes and just gave up after people who had arrived after me were served first.","Really helpful and friendly staff, excellent location and value, great room and excellent breakfast.",9.0,October 2023,5 October 2023,Standard Room with Sea View,2,Couple,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
"Simple, but decent.",,Small room and bathroom. Very large hotel. Friendly staff. Good breakfast. Central location.,8.0,June 2022,30 June 2022,Small Room,1,Solo traveller,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Good location,,Nice staff. clean. Good Breakfast. location was good .,7.0,February 2022,9 February 2022,Standard Room,4,Couple,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Dreamy location,All good,"The room was very clean, the location is great- easy access to downtown and to the bus station that takes you to the airport. The room view was magical! The staff was OK, seamless check in and check out process.  Breakfast was delicious- the best one I had in years in hotels.",9.0,September 2023,19 September 2023,Standard Room with Sea View,2,Solo traveller,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Worth the extra to stay in this lovely hotel,nothing,"Supberb hotel. Upgraded to room with sea and mountain view which was stunning. Great location, helpful staff. Fantastic breakfast",10.0,February 2023,8 February 2023,Standard Room,4,Couple,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Exceptional,,"The staff there was very nice, and the breakfast was amazing. Everything was clean and the location was also very good.",10.0,October 2022,17 October 2022,Standard Room,4,Couple,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
We will be back! Loved it and the Rafisson made the stay very special,,"Room excellent 
Food/breakfast excellent 
Housekeeping exceptional as were all staff 
Great location and easy access to the town and to trips/activities",10.0,January 2023,24 January 2023,Premium Room with Sea and Mountain View,4,Couple,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Good hotel in central location - if staying for longer than 2 nights request a larger room!,Everything was fine on this visit.,"This was our 2nd stay at this hotel. The room this time was much bigger. Excellent breakfasts, helpful staff.  We has to extend our stay by 3 nights due to a pilot strike which the hotel did without fuss. Location is central with easy access to local transport.",9.0,July 2022,22 July 2022,Standard Room,4,Couple,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Exceptional,,"Outstanding service, room is a little compact but no complaints,  splendid breakfast,  and great location.",10.0,October 2022,23 October 2022,Standard Room,2,Family,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
"Good hotel for city center. Nice, comfy rooms and good breakfast.","Online check-out was strange. I still to check-out manually when I wanted to leave my key at the desk.

Online check-in mails started very early and there were 4 in total. Considering Booking sends all messages as well, there were 8 mails asking me to check-in. A bit much. Some small tweaks in the auromation are needed. :-)","Very nice room.

Good location for the airport shuttle

Good location for the city center.

Very nice breakfast (including a lot of fresh fruit)

Very nice staff.

Really enjoyed my stay.

The remote control being wrapped in plastic for my (covid) was a first and I appreciate it.",9.0,September 2021,6 September 2021,Standard Room,1,Solo traveller,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
A great stay,,"We were given a room with a view to the bay, and given the clear skies, it was fantastic! Great service at the counter (thanks for the tips on where to spot the Northern Lights from the city and the best place to watch a World Cup match!). The breakfast last morning was the perfect farewell, delicious 😋!",10.0,December 2022,30 December 2022,Small Room,2,Family,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
"Thoroughly enjoyed our stay, centrally located, staff were approachable, knowledgeable and friendly",please see above comment,"The breakfast choice was superb however tables were not always cleared from the previous occupant promptly.  The reception staff were exceptional, helpful, friendly, nothing was too much trouble.   We were a bit disappointed the towels and bedding in our room were not changed every day.  Also the breakfast tea was never topped up so we ended up buying our own.  These are small issues in the scheme of things but when paying a premium price for a room they should be included as standard. the items eg nuts and sweet were also dusty.  The view from the room was amazing though!",8.0,February 2023,28 February 2023,Premium Room with Sea and Mountain View,4,Couple,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
"Amazing Location, breakfast, staff and super comfy bedroom",I have nothing to mention as a deslike.,"The location is a big plus. The hotel stands at the place where most of the tours (for chasing the northern lights or daily activities) leave from. Also, the bedroom was super comfy, although it was not really big, and it had a gorgeous view of the coast. The common areas are great and breakfast is exceptional! Also, the staff was extremely friendly and helpful. We could even have a late check-out extending our last day on 3 hours.",9.0,January 2022,9 January 2022,Small Room,3,Couple,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Exceptional,,"Very clean, nice staff, good breakfast, good location.",10.0,December 2022,24 December 2022,Small Room,4,Couple,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Great stay in Tromsø city center,Nothing,"Great position close to the city center but very silent during the night
Our stay met the expectations for a 4 star hotel
Amazing staff, especially Kato
Great continental breakfast
Loved the nespresso machine in the room!",9.0,August 2022,13 September 2022,Small Room,1,Couple,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Fantastic hotel! Worth every penny!,"Can't comment as we liked everything about our stay, and we'll definitely return.","We loved everything about this hotel! Super friendly and helpful staff, we got a surprise free upgrade to a beautiful suite room, which had amazing views over the harbour, Fjellheisen and Sherpatrappa. We could simply watch northern lights from our massive windows! Breakfast was superb, too!
It was the best stay ever in Tromso (and we've been there 3 times, staying in other hotels.) Can't recommend highly enough!
Very friendly and welcoming staff, smiling and patient - regardless of the time of day or pressures!",10.0,October 2022,19 December 2022,Standard Room,3,Couple,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Comfortable stay in Central Tromso,Check in took awhile as it was often busy,"Very central location
Helpful and friendly staff
Comfortable beds and rooms
The hotel packed us a great breakfast to go since we had to leave early
Luggage storage is quick and easy",9.0,March 2023,16 April 2023,Standard Room,1,Group,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Superb,Nothing,"Staff were lovely and helpful, room had a superb view, breakfast catered well for gluten free and dairy free - brilliant",9.0,April 2023,12 May 2023,Standard Room,2,Couple,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Exceptional,,"sea view room was amazing
staff were brilliant helpful 
breakfast was the best we’ve had",10.0,November 2021,18 November 2021,Standard Room with Sea View,2,Family,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Exceptional,,"Friendly and helpful staff, nice breakfast and nice room view.",10.0,November 2023,25 November 2023,Small Room,1,Couple,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Exceptional,,"Great location, friendly helpful staff, comfortable room, great breakfast",10.0,June 2023,5 June 2023,Small Room,1,Couple,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Ticked all the boxes - wish we'd had longer,,"Perfect choice: After lovely reception staff checked us in exhausted at 4.30am, walked into great room with a harbour view - bliss. Top location, comfy beds and they do an excellent breakfast. Thanks for getting our holiday off to a great start!",10.0,April 2024,26 April 2024,Superior Room with Sea View,1,Couple,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Great locarion to stay in Tromso,All was good!,"The staff was outstanding. Working with Christian and Lotte was such a pleasure. We felt well cared for.
The room was a good size with a beautiful view of the harbor and mountain. The breakfast was lovely.
We'd recommend this hotel!",9.0,March 2024,25 March 2024,Standard Room with Sea View,4,Family,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Best hotel in Tromso,Curtains could be better around the edges for the summer sun (24 hours a day).,"Excellent staff! Great beds, great room, excellent breakfast. The location is perfect.",10.0,June 2023,5 June 2023,Standard Room with Sea View,3,Solo traveller,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Amazing Experience,,"Everything and everyone, the best location and the best staff, clean, great breakfast. Rooms are with amazing view. 
We won’t forget the hospitality and the help of the front desk staff !! And if you are looking for a northern lights tour most of them start the tour from this Hotel",10.0,October 2021,8 October 2021,Standard Room,2,Family,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
"Excellent experience for choosing Radisson Blu hotel in Tromso,will choose this hotel for next visit",,"Breakfast is excellent, staff is friendly and able to suggest a better upgraded room which is exceeded our expectation. 
Location is super convenience for us to take bus or hanging around the town. Will definitely recommend this hotel to our friends.",9.0,April 2024,20 April 2024,Small Room,3,Family,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Exceptional,,"Very nice hotel in perfect location! Close to restaurants and marina. We would highly recommend it! Very good value for money! The Staff was very helpful and polite.. and they upgraded our room on the arrival, which was so really nice surprise :))",10.0,November 2023,15 January 2024,Small Room,3,Couple,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
I recommend it,Nothing,"Every thing 
Location 
Clean 
Staff
The room Size 
Food /brekefast
Comfortable",10.0,December 2023,3 January 2024,Small Room,4,Family,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Excellent start to our cycling tour of Northern Norway,,We had a lovely room on the 8th floor with a fantastic view. The breakfast is excellent and the staff were very friendly,10.0,June 2023,2 July 2023,Standard Room,1,Couple,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Thank you,,"Very Helpful staff,  location is ideal in the very center of Tromso, Airport Express bus stop very near , Delicious Breakfast to go , large room with a very comfortable bed and an amazing view",10.0,August 2023,27 August 2023,Small Room,1,Solo traveller,8.3,1,0,0,0,1,0,1,0,1,0,0.0011469052385971474
Great place to stay in Tromso,"No restuarant / bar in the hotel for the evening.
Our room was on the 9th floor under the gym. Around breakfast time and early evening there was regular noise from people using the equipment/weights etc","Comfortable room and bed. Staff very friendly and helpful. Excellent breakfast. Our room had a 'sea view' which was worth the additional cost. Location on the harbour front was good. Airport shuttle stopped outside. Walking distance to museums, aquarium and shopping centre. Close to good restuarants and bars.",8.0,January 2023,1 February 2023,Standard Room with Sea View,5,Couple,8.3,1,1,1,1,1,0,1,1,1,0,0.001142896928044144
