Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
"It is false advertising for a poor hotel.No clocks,no TV channels.No working coffeemaker.rude staff","The first room I was given had no bathtub,no heat,the TV was not showing neither cable nor satellite channels.Messages on TV was fees were not paid for said channels.After much antagonism,I was placed in a second room but same thing with TV,etc.The coffeemaker was defective,as the water never goes down into the cup.The staff was snappy especially at breakfast.She was busy with her cell phone.Breakfast was a minimum of juice,2 slices of bread,butter,jam,and stale coffee.Period.Far from the continental breakfast in their ad.Ditto for other amenities.","The bed was OK,there was 2 bottles of water,and the 2 coffee cups were nice.The view was decent.My good memories of this hotel changed since our high school re-union booked the banquest halls here on a regular basis.",3.0,February 2022,"February 9, 2022",Queen Room,1,Solo traveler,6,1,1,0,0,0,1,0,1,1,0,0.001731747083548324
Would not stay here again but with some improvements this could be an amazing hotel,"The room was dusty. The shower drain was clogged so could have had a bath as well. The mattress was very hard, and I’m not that picky. The pillows were terrible, 2 by 2 with lumps in all of them. The parking lot was outside my window and the curtains didn’t cover the windows properly. It was as though the sun was shining in my window the whole night. I hardly slept.
I asked for a wake up call and never got it.","The breakfast was good, really liked the dining room. Staff was very nice.",3.0,June 2022,"June 15, 2022",Queen Room,1,Solo traveler,6,1,1,0,1,1,0,1,0,0,0,0.0017212767283226404
You get what you pay for!,"I had a bed bug, I don't blame anyone here. They can come from somewhere. Rooms were cleaned well. Just did not sleep well when I saw and killed the bug. I thought company would compensate for that but didn't seem to go anywhere. 

The bathroom did not drain well. So your feet are always in the dirty water. Took 5 minutes to drain for a 6 minute shower. But again, nobody will know that because they don't talk shower in that lol. Room 228, please fix it people! It's a good place.

Woodbine to downtown would take you close to 50 CAD on uber and almost an hour in the morning due to traffic. So rather that getting 140/room and spending 100 on Uber, just pay somewhere 200/night and spend less on transit, and remain sane!","Good location from the airport. It's a huge place and the architect is great. They offered breakfast and It might come when you book online. 

If you want to spend less on hotel room, book here. 

If you have a plan to go and visit downtown, please go to the transit and get to downtown.",7.0,November 2022,"November 4, 2022",Queen Room,3,Solo traveler,6,1,1,0,0,0,0,1,0,1,0,0.0017152933256993459
Our stay was fine for one night before flying home.  More than one night would have been difficult.,The rooms are very worn and shabby.  Also the mattress was hard and not comfortable and the pillows were small and lumpy.,The property is in a good location near to the airport.  I liked that it had a mini fridge and coffee maker in the room.  Also the rate included a hot breakfast.,6.0,September 2022,"September 29, 2022",King Room,1,Couple,6,1,1,0,0,0,0,1,0,1,0,0.0017152933256993459
Very Good,"The table the room was pretty scratched up .. 
And the fact the breakfast buffet did not have turkey or chicken bacon as alot of people do not eat pork.",The room was clean and the breakfast buffet very good ..,8.0,October 2022,"October 31, 2022",Queen Room,1,Family,6,1,1,0,0,0,0,1,1,0,0,0.001710664328946359
Good,"Even though it was an airport hotel, located in the middle of nowhere, there was no parking space available as there were 2-3 wedding receptions at the hotel. People from the weddings partying until very late in adjacent rooms.
Personnel at reception not very sympathetic nor smiling.","Fair price. On FanExpo weekend, this hotel was the cheapest at 30 minutes drive away from Toronto Convention Center.
Basic breakfast included. Rooms are clean. Beds are comfortable.",7.0,August 2023,"September 4, 2023",Double Room with Two Double Beds,2,Family,6,1,1,0,1,0,0,1,0,1,0,0.0016889104846817752
Disappointing,"Lack of communication from staff (never pick up their phones), Bed frame lining was ripping off when we got there, very cheaply made furniture.","Location, size of room, refrigerator in room.",4.0,August 2022,"August 25, 2022",Double Room with Two Double Beds,1,Couple,6,1,1,0,0,0,1,0,0,1,0,0.0016763666069145955
Vacation at Etobicike,Room size,Cleanliness and breakfast,8.0,July 2022,"August 1, 2022",Queen Room,1,Couple,6,1,1,0,0,0,0,1,0,0,0,0.0016721813431855206
Will never stay there again,The room was dark and dingy and smelled musty,"The breakfast was not allowed in the room. You needed to eat in the area where they served it.
I was sick and was told I couldn't bring it back to my room.
My daughter who lives 15 minutes away brought us breakfast",1.0,March 2023,"March 6, 2023",King Room,2,Couple,6,1,1,0,0,0,0,1,0,0,0,0.0016721813431855206
Good stay for what I paid. Comfortable and great breakfast!,Bathroom wasn’t properly cleaned. Found a tube of toothpaste in the shower behind the curtain. Also could hear every door opening and closing.,Breakfast was way more than I thought it was going to be! Bed was so comfortable too!,7.0,June 2023,"June 2, 2023",King Room,1,Solo traveler,6,1,1,0,0,0,0,1,0,0,0,0.0016721813431855206
Vacation at Etobicike,Room size,Cleanliness and breakfast,8.0,July 2022,"August 1, 2022",Queen Room,1,Couple,6,1,1,0,0,0,0,1,0,0,0,0.0016721813431855206
Pleasant,"When booking online price quote for room was $101.00 plus tax
When finished booking, price jumped to $135.00 plus tax -","Room was satisfactory, buffet breakfast good",6.0,February 2023,"February 17, 2023",King Room,1,Couple,6,1,1,0,0,0,0,1,0,0,0,0.0016721813431855206
Toronto Trip August 17-18,"The front desk clerk Shivam was rude when we checked in. When we got there at 3:05, I gave him my info and he said our room wasn't ready and check in was at 4. I put in specific instructions that we would be checking in at 3. He asked if it was approved. I showed him the email where it was but it said 3-4 pm. So he said because of that it could be anytime between 3 & 4. I tried to explain how it was approved again and he said he would check my family in at 3:59 pm then. I even went online and showed him check in online says 3 pm. We had to wait about 20 minutes and then the room was ready. I just think the interaction wasn't necessary.",The room was comfortable enough for the stay. It was nice that breakfast was included. The people doing the breakfast were nice and offered to make a waffle for my son as he didn't want to eat anything else.,7.0,August 2022,"August 22, 2022",Double Room with Two Double Beds,1,Family,6,1,1,0,0,0,0,1,0,0,0,0.0016721813431855206
"I will never stay again, customer service was awful. All excuses, not much of an apology.","The service was terrible, I called in 6 times over 2.5 hours in the morning to speak to someone. I left a message still no return call. Called once more this time I chose the Banquet Hall. The picked up the phone was very nice. He walked the message that I called to the front desk. Then they returned my call. When she called I made her aware that I called many times and no one answered. Automatic made excuse that she was on lunch, I called between 930-12. I requested a wine glass and said they don't have any... ( with a banquet hall? ). I called down at 2 pm to let them know that my bathroom light was not working, as I was leaving for supper at 5 pm I asked why no one had been to my room to fix. The excuse was that the person went home, something in his eye. No phone call to let me know.","The bed was comfortable, the room was good as far as comfort.",1.0,October 2021,"October 6, 2021",King Room,1,Solo traveler,6,1,1,0,0,0,1,0,1,0,0,0.001671737559307232
Fairly isolated if you don't have a car.,"Breakfast was included for a continental breakfast. Make your own waffle machine. All self service, but you have to compete with staff to self serve, as they delve in also. For the price of the room it was fine.","It was near the airport Pearson int. But no shuttle Uber costs about $19.
Rooms are facing an inner covered courtyard which generates a lot of heat when sunny, so room can feel a bit hot, air con needed to be on all day to keep room cool. The other rooms face outwards to car park.",7.0,June 2022,"June 17, 2022",King Room,2,Family,6,1,1,0,0,0,1,0,1,0,0,0.0016717375593072318
Dissapointed,"The staff were unkind except for Donnet (the lady at breakfast) and a young man who works for room service.
They advertised a continental breakfast but turns out it wasn't functioning; Instead we got small breakfast bags and we could only have them in our rooms.
The air conditioner fan was very loud and we weren't able to sleep at night because of the noise.
Finally, the key cards for our room always stopped working. Every single time I wanted to get in the room, I had to go downstairs to the reception to ask them to reactivate the key cards. It was very annoying.",They would put water in the rooms  everyday.,4.0,August 2021,"August 29, 2021",Queen Room,4,Family,6,1,1,0,1,0,1,0,1,0,0,0.0016499523962120873
It was cheap but we paid the price...,"- The room smelled like cigarettes even though it was a non-smoker room. 
- The shower was badly designed (uneven tiles and water could exit the shower allowing water to run through the entire bathroom floor). 
- The toilet was not cleaned on our arrival (hair was found in the toilet bowl). 
- The pillows were very flat. 
- I was exhausted from my trip and when I asked an employee for an extra chair for my room, the employee told me to just grab one from the breakfast room and did not even try to get one for me. I had to come back a second time to ask them where that was and still did not offer to bring it to my room... 
- When I asked if they could hold onto our luggage after our checkout for a few hours the night before our check out, they told us they could; but the morning after, they changed their answer and said they couldn't hold onto our luggage because they had theft issues in the past... 
- The walls were super thin. We could hear people in the parking lot...
- The carpets smelled bad and felt dirty. 
- Little to no service.",The bed was comfy and felt somewhat clean.,3.0,July 2022,"July 28, 2022",King Room - Disability Access,2,Group,6,1,1,0,1,0,1,0,1,0,0,0.0016499523962120873
Wonderful,The water ran out into the whole bathroom when i showered.  I had to spend time drying up all the water.  One garbage bin in the washroom was not emptied fro. The previous guest,The  staff was courteous  the bed was comfy,9.0,March 2023,"March 31, 2023",King Room - Disability Access,1,Family,6,1,1,0,0,1,0,0,0,0,0,0.0016494694229718823
Very Good,People who there long term cooking in room making the hallways unbearable with the smell in them.,"Staff, clean",8.0,April 2024,"May 1, 2024",Double Room with Two Double Beds,5,Family,6,1,1,0,0,1,0,0,0,0,0,0.0016494694229718823
Wonderful,The water ran out into the whole bathroom when i showered.  I had to spend time drying up all the water.  One garbage bin in the washroom was not emptied fro. The previous guest,The  staff was courteous  the bed was comfy,9.0,March 2023,"March 31, 2023",King Room - Disability Access,1,Family,6,1,1,0,0,1,0,0,0,0,0,0.0016494694229718823
"Great location next to Woodbine’ Great Casino & Race Track,","Our initial room was too small. When I made the reservation two months prior to on line, the dimensions of the room were not publicized. Quite the surprise when we arrived. Glad to get the switch to the bigger room.",Bed was very comfortable. Receptionist arranged for us change our room @ no extra charge. Original room was way too small for my wife & I. Room was only wide enough for the bed with next to no room on either side. Those rooms should be altered.,6.0,August 2023,"August 21, 2023",Queen Room,1,Couple,6,1,1,0,0,1,0,0,0,0,0,0.0016494694229718823
Our stay was ok but if I was to stay longer than 1 night I would have looked at a different hotel to meet our needs bett,Room smelt musty and old. Bed was hard and uncomfortable. No shower necessities in bathroom.,Staff were polite and helpful upon arrival. Main entrance very inviting and clean.,5.0,July 2024,"July 8, 2024",King Room,1,Couple,6,1,1,0,0,1,0,0,0,0,0,0.0016494694229718823
100 percent would return.,"There really is not too many places to go out to eat around there. 
The accessible room was very obviously designed by someone who was not an inclusion specialist and did not consult the very people who may need the room or the family/caregiver of that individual.","The room was nicely decorated and had a large king size bed that was very well maintained and comfortable. 
The staff were very efficient and accommodating as we had shown up quite late.",8.0,April 2022,"April 30, 2022",King Room - Disability Access,1,Couple,6,1,1,0,0,1,0,0,0,0,0,0.001649469422971882
Very Good,"Room was very small, barely  room to walk beside bed without hitting the wall.",Clean accommodations and friendly staff.,8.0,December 2022,"December 15, 2022",Queen Room,1,Family,6,1,1,0,0,1,0,0,0,0,0,0.001649469422971882
Very Good,The bed was slightly uncomfortable as well as the pillows.,"The room was a decent for the value. Staff was polite, .  All in all it was a good stay.",8.0,August 2022,"August 29, 2022",King Room,1,Couple,6,1,1,0,0,1,0,0,0,0,0,0.001649469422971882
A wonderful stay,They water down the juice way too much. The door lock to my room was malfunctioning.,"The hotel is in a grenat location. Close to the HWY and 30 mins from DT Toronto. The rooms were large and clean and offered Free parking. On top of that they provide a Free breakfast, that included eggs, bacon, sausage, home fries, bread, fruit, coffee, juice and WAFFLES!!",9.0,August 2024,"August 16, 2024",Double Room with Two Double Beds,2,Group,6,1,1,1,0,0,0,1,0,1,0,0.0016359721801725874
It was OK but I will not be staying there again,"Breakfast was poor, Room is in need of maintenance ( towel rack hanging off the wall).Toilet seat loose as one hinge is broken. Room was noisy with hotel washing machines near by.",They did a good job cleaning the room and the location was good for my purposes,5.0,October 2021,"October 1, 2021",Queen Room,14,Solo traveler,6,1,1,0,1,0,0,0,1,1,0,0.0016348104904126625
I will never stay here again,"Staff did not pick up phone when you called down.

A dirty face cloth was missed in the shower

Grout chipping away from shower/bathroom tiles

Feather pillows, carpet, fragrent cleaners trigger headache and stuffy nose

Only a few channels on TV.  It's premiere week. I was so disappointed I couldn't chill and watch TV after a 4 hour drive. 

Bright lights outside window of very small room. Could not escape them. Curtains would not close tight enough to block it out completely.

I will not stay here again.","Shower pressure was good
A/C allowed comfortable temperature 
Close to business Convention",3.0,September 2022,"September 21, 2022",Queen Room,1,Family,6,1,1,0,0,0,1,0,0,0,0,0.0016272337642427562
I will never stay here again,"Staff did not pick up phone when you called down.

A dirty face cloth was missed in the shower

Grout chipping away from shower/bathroom tiles

Feather pillows, carpet, fragrent cleaners trigger headache and stuffy nose

Only a few channels on TV.  It's premiere week. I was so disappointed I couldn't chill and watch TV after a 4 hour drive. 

Bright lights outside window of very small room. Could not escape them. Curtains would not close tight enough to block it out completely.

I will not stay here again.","Shower pressure was good
A/C allowed comfortable temperature 
Close to business Convention",3.0,September 2022,"September 21, 2022",Queen Room,1,Family,6,1,1,0,0,0,1,0,0,0,0,0.0016272337642427562
Nice enough hotel,"Front desk staff upon check in was quite cold and did not communicate well. Did not feel they were welcoming. 

The room was very small, however clean and comfortable. 
I would say the bathrooms could use work, the shower curtain and mat had mold on them and the shower could use a redo.",Property was clean and appeared to be well taken care of.,7.0,July 2023,"July 31, 2023",Queen Room,1,Group,6,1,1,0,0,0,1,0,0,0,0,0.0016272337642427562
Confortable and great location!,"Toilet was not stable, fire alarm was hanging from the ceiling, water in shower was not really hot and it would be great that all employees be warm and friendly","Closed to highway but we don’t hear the traffic! It’s not nosy, it’s perfect. Bedroom is very clean and the bedding is really confortable.",7.0,September 2021,"September 19, 2021",King Room,1,Couple,6,1,1,0,0,0,1,0,0,0,0,0.001627233764242756
I would not recommend no one the staff was not friendly and you call for anything they forget the clean was not polite a,first the heat work on and off the tv was grainy and you can’t get much channels the pillows was so small oh my the night light only one plug work so if you are charging your phone you can’t turn on the light the bed was not comfortable light keep coming in your room,the location was great but the was old the bathroom tub has stain the face sink was crack and not clean,4.0,February 2022,"February 23, 2022",King Room,3,Family,6,1,1,0,0,0,0,0,0,1,0,0.001607686790147917
I expected more like faucets that werent rusted and shower that works or had knobs to turn on/off,"same as above. This was the most obvious lack of maintenance and pride in the appearance of the esthetic appearance i have ever seen. The chrome or steel on your faucet or fixtures in showers were rusted. This was disappointing to see as it felt like management didnt care.

While the bed was just ok, I have had more comfortable beds from even comfort Inn/Suites",Requested a room on lower level which I got. Tried to shower right after entering the room after 4 hours commute and the shower was broken. I was moved to another room that provided a view of the dining area I couldn't even pull the curtain or other people would be able to see inside my room like I was hosting a peep show.,2.0,June 2022,"July 22, 2022",King Room,1,Solo traveler,6,1,1,0,0,0,0,0,0,1,0,0.001607686790147917
Fair,"I didn't feel welcome,I would hear people in the other room,a couple times we smelled gas which frightened my wife and I left on the 13th of November and still haven't recieved my $150 deposit.","The location was convenient for us,the rooms were always cleaned  and there was always someone at the front desk.",5.0,November 2022,"December 4, 2022",Queen Room,7,Couple,6,1,1,0,0,0,0,0,0,1,0,0.001607686790147917
Pleasant,"Queen room, extremely small for two people. Not sure why they would need a $150.00 security deposit but they do. I would not stay there again. They advertised a free breakfast, good luck with that.","The room was clean, new carpet and tile.",6.0,March 2022,"March 21, 2022",Queen Room,2,Couple,6,1,1,0,0,0,0,0,1,0,0,0.001602341543107849
"Ok, could be better.",Couldn't get the air conditioner to turn off so the room was freezing. Breakfast was lacking.,"Room was quiet, bed was comfortable.",6.0,February 2022,"February 26, 2022",King Room,1,Couple,6,1,1,0,0,0,0,0,1,0,0,0.001602341543107849
Some hiccups along the way,"When we checked in, our room’s air conditioning didn’t work and the room did not have a window to the outdoors (instead the window showed a room in the convention centre adjoining the hotel). We asked for another room because of the AC and what we got was a room that had not been cleaned! Breakfast plates with food still there, bed not made, bathroom very messy. We went back down to ask for a third room and while we were waiting for help, another guest came to the front desk with dirty dishes that had not been cleared from her room that morning. Thankfully the third room that was assigned to us was not dirty and had AC that worked. Lastly, when we went to breakfast, there was no food available! We went at the right time, and clearly someone was preparing more food, but we were in a rush so unfortunately we didn’t have the chance to try the breakfast.","The motivation for booking the hotel was the price - it was 135$ after tax for a room with a king bed. It was the cheapest option in the area, and our stay had a few hiccups but was overall okay!",4.0,May 2022,"May 18, 2022",King Room,1,Couple,6,1,1,0,0,0,0,0,1,0,0,0.001602341543107849
Unfortunate but staff saved the day,"You pay the $150 deposit,as advertised but  they won’t give any kind of receipt and then on exit tell you within 3-4 business days it will be refunded. Hope that turns out to be true! Also wouldn’t let me talk to a manager, my first room smelled like smoke and tv didn’t work, they moved me quickly to a functional  room, Rooms are run down. I feel sorry for staff who have to deal with it all.",The friendly front desk staff and housekeeping and breakfast staff saved the stay.,4.0,October 2022,"October 15, 2022",Queen Room,1,Solo traveler,6,0,1,0,0,1,1,1,0,0,0,0.0015990032323575573
YOUR SAFTEY IS AT RISK IF YOURE A SOLO FEMALE TRAVELER,"checked in around 11pm at night. Yuvraj Singh was the one who checked me in, almost certain he was high as well. at 12:30am I had a man with a ski mask on his face knock on my door 5x and stand outside my room for 2 minutes. I called the front desk and Yuvraj said he was “not in a position to be able to help right now” and will send security guard. no security guard was sent. felt so unsafe all night in this hotel. the most unprofessional management I’ve ever experienced. do NOT come here.",bed was comfortable,1.0,April 2023,"April 2, 2023",King Room,1,Solo traveler,6,1,1,0,0,0,0,0,0,0,0,0.001585176848116556
Wonderful,The shower the drain didn't drain quickly so I was standing in a shower and water.,The cost was incredible and great bang for my buck. The room was cozy,9.0,April 2022,"April 23, 2022",Queen Room,1,Solo traveler,6,1,1,0,0,0,0,0,0,0,0,0.001585176848116556
was very beautiful,the room is excellent,very caring and clean,9.0,April 2022,"May 3, 2022",Queen Room,1,Solo traveler,6,1,1,0,0,0,0,0,0,0,0,0.001585176848116556
Small,"The room was very hot and the ac didn’t work good. 
I didn’t like that my room had no bathtub and when taking a shower it was very slippery that I fell.",Was clean,6.0,August 2021,"September 12, 2021",Queen Room,1,Couple,6,1,1,0,0,0,0,0,0,0,0,0.001585176848116556
Bad,"The fact that DRUGS WERE FPUMD IN MY ROOM!
NOT ACCEPTABLE.
The room was fithy dirty
headrest for jacuuzi was broken
The Microwave did not work
the jacuiziiii had to be cleaned by me with the soap clenser to be able to use it.
Security came and remived the drugs nothing was done after that.
What if my kids were to have actually camw to the hotel and found the drugs???????
what would be the outcome then?
This is wrong and I need action!",Honestly the Jacuuzi is why we rented a room.,1.0,December 2021,"December 22, 2021",King Romantic Suite with Jacuzzi,1,Family,6,1,1,0,0,0,0,0,0,0,0,0.001585176848116556
ok,tv was out dated and alot of channels didnt work. room was like going back to the 1990s.,the room was clean.,3.0,December 2021,"December 21, 2021",King Room,1,Couple,6,1,1,0,0,0,0,0,0,0,0,0.001585176848116556
Scary place,Some guest arguments very Loud around my room. I couldn't sleep,Room size,1.0,April 2022,"April 6, 2022",King Room,1,Solo traveler,6,1,1,0,0,0,0,0,0,0,0,0.001585176848116556
Fair,Pillows were small and lumpy. Tv was terrible. Check in was an hour and a half late bc of system problems but that seemed to be a daily thing. Had to get the room cards rekeyed daily. They cleaned the room only twice although we were there four days so was a bit sporadic but for what we paid it was as expected,Room size was decent. Beds were comfortable.,5.0,June 2022,"June 28, 2022",King Room,4,Couple,6,1,1,0,0,0,0,0,0,0,0,0.001585176848116556
Awesome  stay  prefect  for fast stay  we needed,Room was smaller  then thought but was fine for  two of us. Was wedding  could hear base a bit but was fine had  no problem  getting  sleep rest hotel very quiet  didnt  hear  people,It was  beautiful  hotel  was wedding  going  on. Wasnt to bad for values  room small  but  bed comfy. Had  tv microwave  safe and refrigerator . We were happy  with stay,10.0,August 2021,"August 30, 2021",Queen Room,1,Couple,6,1,1,0,0,0,0,0,0,0,0,0.001585176848116556
Good,Air conditioning is loud. Me and wife can't sleep normal,Nice personal. Good apartments.Clean and big number.,7.0,March 2023,"March 23, 2023",King Room,1,Couple,6,1,1,0,0,0,0,0,0,0,0,0.001585176848116556
Nice but...,It was too cold in the room. Way to cold. The guy that check the room for the caution was weird. He ask if I was traveling alone. Not a good question to ask a women. And they did not take my debit card so I had  to use the ATM and pay the fees.,The hotel is near by the airport and available 24/24. The room was big with everything to stay a long time.,6.0,January 2024,"January 16, 2024",Double Room with Two Double Beds,1,Solo traveler,6,1,1,0,0,0,0,0,0,0,0,0.001585176848116556
very bad room smeel like fish,i cal her she not understand i tell new room she not available so i leave because so bad i never had this experience in life but guy come in room was hot water not come room was bad smeell like fish waste of time money,microve not working i cal front deak old guy come he dont lnow very old guy working have no sense value uncomfortable feeling watching inside room so disrespectful i leve from hour even not stay waste of money very bad never go back,1.0,September 2021,"September 10, 2021",Queen Room,1,Couple,6,1,1,0,0,0,0,0,0,0,0,0.001585176848116556
very comfotable. the receptionist was very polite,The external environment outside hotel looked like an industrial mess,Room was very comfortable,8.0,September 2023,"September 26, 2023",King Room,1,Couple,6,1,1,0,0,0,0,0,0,0,0,0.0015851768481165557
Very Good,"During our 8 day stay in the Toronto area, we had accommodations at three different hotels All the stays were great  however a king bed should have king pillows. I'm just use to larger pillows","Travelling as a couple, the only thing that accommodated more than one person was the bed, as comfortable as the bed was, we could have used another chair",8.0,September 2023,"September 18, 2023",Queen Room,1,Couple,6,1,1,0,0,0,0,0,0,0,0,0.0015851768481165557
Awesome  stay  prefect  for fast stay  we needed,Room was smaller  then thought but was fine for  two of us. Was wedding  could hear base a bit but was fine had  no problem  getting  sleep rest hotel very quiet  didnt  hear  people,It was  beautiful  hotel  was wedding  going  on. Wasnt to bad for values  room small  but  bed comfy. Had  tv microwave  safe and refrigerator . We were happy  with stay,10.0,August 2021,"August 30, 2021",Queen Room,1,Couple,6,1,1,0,0,0,0,0,0,0,0,0.0015851768481165557
I’d stay somewhere else and GLADLY pay a little,"Very small room, average beds. Curtains were useless so the room was not dark at all (bright Carpark lights glaring in through the night). Very noisy- paper thin walls and doors meant you heard all conversations in room around you and every step in the hallway",Cheapest room near Toronto airport,6.0,June 2022,"July 21, 2022",Queen Room,1,Solo traveler,6,1,1,0,0,0,0,0,0,0,0,0.0015851768481165557
Pleasant,Noice. No soup. Small rooms,Overall it was bad . Just we couldn't get soup to bath for 2 days. Plus the noise that comes from the basement or whatever was insane. It seems they're running a factory 🏭.  The room was too small for us. Overall it's ok place.,6.0,July 2022,"July 8, 2022",Queen Room,2,Family,6,1,1,0,0,0,0,0,0,0,0,0.0015851768481165557
Pleasant,Bathroom tub had stains and looked very old. The rest was fine.,"Room was great, bed was comfortable and big, carpet was clean.",6.0,April 2022,"April 8, 2022",King Room,1,Family,6,1,1,0,0,0,0,0,0,0,0,0.0015851768481165557
