Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Basic but adequate budget accommodation.,The noise from adjoining cabin was very audible. The lighting was awful - bright and harsh. The bedcovers felt very synthetic and therefore not fresh. The spa was a bit shabby.,Common facilities were spacious and clean.The room was a good size and the bed was comfortable. The spa was good value and relaxing. The staff were all lovely.,6.0,March 2024,"March 13, 2024",Large Standard Cabin with Shared Bathroom,1,Couple,8.3,1,1,1,1,1,0,0,0,0,0,0.0006385003857419881
Great for a family stay,"Bathroom was surprisingly unclean, considering the condition of the rest of the chalet was really pretty good. Scum around the tap was easily wiped with toilet paper - obvious it had not been cleaned between guests. The hair dryer did not work either which was disappointing.  A chopping board in the kitchenette would be a great addition.","Loved the space of the chalet. Lots of room, and enough space to not be right on top of each other.  Perfect for our family.  Beds warm and cosy.  The staff were so friendly and helpful.  Pools were awesome, even though on the last morning one of the main pools only had about 1/2 a foot of water in...kids still splashed around.  Parking was nice and easy, and a short walk for getting to the pools (a really cool walk at night with all the lights!)",8.0,July 2022,"July 29, 2022",Chalet,2,Solo traveler,8.3,1,1,1,1,1,0,0,0,0,0,0.0006385003857419881
Family of 5,"It's essentially a standard holiday park near a Geothermal pool/spa (not included with your stay). If I were to visit Taupo again I'd book somewhere else and visit for the day.

The room smelled a little sweaty/moldy","The pool facilities are great. Reception was helpful and friendly. Landscaping and surroundings kept really clean and tidy. Although we didn't camp the camp facilities looked nice, I think I would have enjoyed camping more.

The room was well equipped with large fridge freezer, 2 a/c units, oven, microwave, dishwasher, soaps, towels, hairdryer, iron.... Everything you need.",7.0,December 2021,"December 18, 2021",Deluxe Lodge,2,Family,8.3,1,1,1,1,1,0,0,0,0,0,0.0006385003857419881
Very Good,Beds were uncomfortable.,Overall we really enjoyed our stay. We had a smooth & friendly interaction at the reception.The kitchen facilities were awesome at our room. We really enjoyed the spas.,8.0,February 2023,"February 21, 2023",One-Bedroom Apartment,1,Group,8.3,1,1,1,0,1,0,0,0,0,0,0.0006373129020422745
Comfortable friendly stay.,"Unfortunately we stayed in a room which had a shared door to another room, we could hear the other family's TV, coughing and snoring as though they were in the same room. The blind above the double bed didn't go down fully.","Comfy beds, great clean bathroom facilities, friendly and helpful staff. I loved waking up to cute tiny ducklins outside my door. Everything we needed.",8.0,October 2023,"October 12, 2023",Large Standard Cabin with Shared Bathroom,1,Family,8.3,1,1,1,0,1,0,0,0,0,0,0.0006373129020422745
Good for what you pay for but comfort is lacking,The rooms need updated. The size of the rooms weren’t great and the beds were very uncomfortable.,Staff were very friendly and helpful. Facilities were clean and close by the accommodation,6.0,July 2023,"July 18, 2023",Basic Triple Room with Shared Bathroom,2,Couple,8.3,1,1,1,0,1,0,0,0,0,0,0.0006373129020422745
"Amazing, lots of things to do and great for the kids!!",I wonder what the construction work was for the hot pools. I'll be back to see the finish product. The room gets quite messy and sometimes I don't like to leave it for the cleaners. Is there a broom or vaccum in the rooms? Not sure if the geothermal heaters were working but it wasn't too cold so didn't need to use it but be nice to have some instructions on how to use it?,The service from the receptionist was really friendly and helpful. The beds were comfy and the room was very large. I liked that there was designated parking and facilities were all close by. Lots of things for the children to do... Absolutely loved soaking into the hot pools. Kids had a blast. Also didn't get to utilise all the facilities so will need to come back.,9.0,April 2024,"April 9, 2024",Two-Bedroom Apartment,2,Family,8.3,1,1,1,0,1,0,0,0,0,0,0.0006373129020422745
Fair,Challenging and tight carpark for our unit vs the size of our vehicle which is only a 7 seater. Not very clean. Very basic for the amount of money paid. Hot pools not included although discounted but still have to pay even for a spectator (lol).,"Bed was comfortable.
Nice big fridge and cooking facilities availability. Friendly staff.",5.0,March 2023,"March 9, 2023",Two-Bedroom Apartment,2,Group,8.3,1,1,1,0,1,0,0,0,0,0,0.0006373129020422745
Not what it seems,"Pool area definitely wasn't what it looked like on the photos. 
We stayed in a  2bd chalet which was only separated by a door, it was quite easy to hear the people in the next room.
Beds and pillows are also very uncomfortable.","Rooms were nice and spacious.
Reception girls were very nice and friendly.
Jumping pillow was good for the kids",5.0,March 2024,"March 9, 2024",Chalet,2,Family,8.3,1,1,1,0,1,0,0,0,0,0,0.0006373129020422745
Cozy,A lamp would be a nice touch to the rooms.,Nice big room. The shared bathroom was clean and also big enough space for my partner and I to share a shower cubicle. Was a very good price point for a one night stay. Lots to do for the kids and everybody is friendly. Pool discount was a bonus.,10.0,January 2024,"January 30, 2024",Basic Double Room with Shared Bathroom,1,Couple,8.3,1,1,1,0,1,0,0,0,0,0,0.0006373129020422745
"Great value, awesome place to stay",Bunk beds not that comfortable,"Clean, loved the pools, great facilities, friendly staff",9.0,October 2023,"October 30, 2023",Two-Bedroom Apartment,1,Family,8.3,1,1,1,0,1,0,0,0,0,0,0.0006373129020422745
A lovely family place to stay,"The room was showing a little wear and tear. The bunks could do with a bit of a re-screw, because they are pretty squeaky.",The room had everything that we needed and was clean and spacious. It was nice and private and had a relaxed feel. The staff were friendly and helpful.,7.0,October 2021,"October 8, 2021",Family Room,1,Family,8.3,1,1,1,0,1,0,0,0,0,0,0.0006373129020422745
Great would go back again,Having to walk to the bathrooms and having a long walk up and down to the heating pool area. Otherwise all was well.,"Ground were lovely, spa and treatments were great and was nice to have on-site.  Staff were friendly. Room had heat pump which was a great feature and added alot of comfort.",6.0,August 2022,"August 30, 2022",Basic Double Room with Shared Bathroom,2,Family,8.3,1,1,1,0,1,0,0,0,0,0,0.0006373129020422745
"Good value for money, friendly staff, excellent place to stay and spend time with family","Fridge was a bit dirty inside and dusty on the top. 
Bed sheet had stains on.","Comfortable beds 
Cooking facilities in the villa 
Family friendly 
Thermal pools",10.0,July 2022,"July 14, 2022",Superior Double Room,2,Family,8.3,1,1,1,0,1,0,0,0,0,0,0.0006373129020422745
Glistening waters only moments away in Taupo.,"Rooms lacked a little personality, would loved to have seen photos of the local surrounds.  And more comfortable lounge furniture after a long drive.  Rooms held function over comfort.",Superb location for a visit to the hot pools with spacious rooms for families.,7.0,March 2022,"March 9, 2022",One-Bedroom Apartment,1,Family,8.3,1,1,1,1,0,0,0,0,1,0,0.0006352440363939592
Relaxing family holiday facility with everything you need although internet could be more stable.,See above - beds and wifi.,"Great cabin, generous size with very good facilities and deck with view. Beds a bit too soft but still relatively comfortable. Free wifi but intermittent connection.",9.0,January 2022,"January 15, 2022",Executive Studio,5,Family,8.3,1,1,1,1,0,0,0,0,1,0,0.0006352440363939592
Wonderful,"Would have been good to have a pool available on site for guests and not have to pay extra to visit the Spa Resort. This would be good for a quick dip rather than visiting a public pool/spa resort and making a day/few hours of it. That said, the mineral pools are worth a visit.

The crockery, glasses and cutlery etc were a little dirty and needed a quick wash before use. Likely dishwasher not cleaning that well...","Room was large and spacious. Nice to have a good sized kitchen area and lounge. Love having a washing machine in the room. View of the mountains and slight view of the lake from our room and from the main bedroom was amazing! Easy access to Debretts Spa Resort,though take note there is an extra fee for the pools. Discount available for guests. The pools are a highlight!",9.0,October 2023,"October 10, 2023",Chalet,2,Family,8.3,1,1,1,1,0,0,0,0,1,0,0.0006352440363939592
There’s room for improvement.,Our room cleaning standards were not great. The entrance to the spa was not included despite of this being the main value point of this hotel.,The proximity to the hot springs and the town. The room was spacious and the beds were comfortable.,7.0,April 2024,"April 12, 2024",Executive Studio,1,Group,8.3,1,1,1,1,0,0,0,0,1,0,0.0006352440363939592
"Overall a nice stay, great spacious accommodation with lake and mountain views.","Lounge suite was too small for a family sized villa, only a 2.5 seater - an L shaped corner suite would be more appropriate. Cleaning could have been a bit better. A better selection of channels on Sky to watch sports would have been a bonus.","Great views from the Lakeside Villa, king sized bed was comfy and the accommodation was spacious. Underfloor heating on the tiles was an added bonus for the cold evenings and mornings.",8.0,October 2023,"October 9, 2023",Villa,1,Couple,8.3,1,1,1,1,0,0,0,0,1,0,0.0006352440363939592
Warm campground Chalet with Mt. Ruapehu view,"Bathroom needs an overhaul, felt more like campground facilities, no storage, black mouldy edges everywhere, window handles and towel rails loose/broken. We were expecting some noise from the pools, but it was too loud for us.","Good heating in the living area and main bedroom, good storage in the bedrooms, parking in front of the Chalet, nice view to Mt. Ruapehu. Lots of towels provided.",7.0,October 2022,"October 20, 2022",Chalet,3,Family,8.3,1,1,1,1,0,0,0,0,1,0,0.0006352440363939592
"Overall, a great place to stay with lots to do for the kids, and close to the town centre.","Unit had an issue with ants even though we kept the food area clean, and watered down dishwasher liquid that didn’t clean the dishes properly.","Great location, great facilities, comfy beds, good discount for water park, friendly staff.",7.0,August 2023,"August 13, 2023",Executive Studio,2,Family,8.3,1,1,1,0,1,0,0,1,1,0,0.0006346078748867834
Fair,"The dinnerware such as the cups and plates and such still had residue from, I'm assuming, the previous guests that stayed so it was unpleasant to have to check each item before using it. The bodywash/shampoo provided, though it states that it's 'an approved bodywash', is hand soap coming out of a soap dispenser like the ones you see in public bathrooms.","We had a spacious room (it was more like a mini apartment) that came with a small kitchen and living area, and the location of the resort itself was away from all the hustle and bustle. There was also a VERY friendly duck that came to our door at the same time on both days of our stay - not sure if a trained resort duck or not but either way, it was adorable.",5.0,December 2022,"December 24, 2022",Deluxe Lodge,2,Couple,8.3,1,1,1,0,1,0,0,1,1,0,0.0006346078748867832
I would certainly come back again! Thank You.,I wasn't expecting a single bunk bed / a single bed.,The location is good and the shared facilities were very clean.,7.0,March 2022,"March 29, 2022",Basic Triple Room with Shared Bathroom,1,Couple,8.3,1,1,1,0,0,0,0,0,1,0,0.0006336722997564725
Over all good stay-nice clean chalet & lovely location but missed little touches to finish it off.,"No hotel booklet to tell you about the property (tv channels, about servicing the apartment, checking out & all hotel info etc.) - there is a tv channel to watch but it is quite long & not informative . Would have been awesome to have little shampoo, conditioner, creams & soaps etc. that come with the room. Also, rooms with washing machines should come with a small washing powder sachet - instead of having to go over to reception. Extra blankets in the cupboard would be nice too :)","Size, location & cleanliness  of the Chalet was awesome. Kitchen facilities good & beds were comfy.",7.0,August 2022,"August 27, 2022",Chalet,2,Family,8.3,1,1,1,0,0,0,0,0,1,0,0.0006336722997564725
Good 1 night stay to break up a longer trip.,"Value for money was not good in my opinion.  The 4 bed cabin we stayed in was fine for one night, maybe two at a pinch. Just too cramped for a family of four.","Close to hot pools and central Taupo. cabin was clean and tidy with a good shower. Great facilities, playgrounds etc.",8.0,January 2022,"January 25, 2022",Standard Bungalow,1,Family,8.3,1,1,1,0,0,0,0,0,1,0,0.0006336722997564725
"Great Location, Amazing Pools",The beds were very soft and uncomfortable. There was no air-conditioning or fans in the bedroom so it did get stuffy at night.,"Omg the pools and slides were the best. Paid $43 extra for the pools for 1 day out of which we spent 2 hours in the pool. They shouldn't be charging extra but at the end of the day we all enjoyed.
The room was clean and spacious with free private parking just in front of the room. 
Very nice location.",8.0,February 2024,"February 12, 2024",One-Bedroom Apartment,1,Family,8.3,1,1,1,0,0,0,0,0,1,0,0.0006336722997564725
Adequate,The double bed was just two singles pushed together with a big sheet on it. This is a pet hate of mine as it means there is a large ridge in the middle of the bed. It would be great if accommodation providers would state this is the case rather than calling it a double or a king etc.,Clean room. Decent amount of space. Proximity to the pools obviously the main draw card.,5.0,December 2021,"January 26, 2022",One-Bedroom Apartment,1,Couple,8.3,1,1,1,0,0,0,0,0,1,0,0.0006336722997564725
Very Good,Room felt a bit muggy and humid when we first entered but this cleared out after we left the windows and door opens for a bit.,"Room size, view, amenities and the kitchen facility in our villa was a feat.",8.0,September 2022,"September 26, 2022",Villa,1,Family,8.3,1,1,1,0,0,0,0,0,1,0,0.0006336722997564725
Wonderful,"The freezer was a bit dirty and the cabin a bit dusty, but nothing a cleaning cloth could not fix.","The villa was spacious, the underfloor heating in the bathroom was nice. Black out blinds were a good bonus. The view was stunning. The pools nice and hot.",9.0,November 2021,"November 2, 2021",Villa,2,Couple,8.3,1,1,1,0,0,0,0,0,1,0,0.0006336722997564725
It was good and bad,The bedding was a little bit unclean. We found a lot of hair in our sheets.,"The location was nice, the hot pools were really good as well. The room size was great and the parking too.",4.0,March 2022,"March 21, 2022",Studio,1,Couple,8.3,1,1,1,0,0,0,0,0,1,0,0.0006336722997564725
We will definitely be back!!,"The room could've been a little more clean, there were sticky parts on the floor by the bin and there was dust in the corners.  A good vacuum and a wipe of the skirting boards would do wonders. It's unfortunate that the pools are so expensive even when staying.","The room was perfect for our family. The size, bed formation, location, kitchen facilities.  It was lovely and warm especially with the underfloor heating.",9.0,September 2023,"October 4, 2023",Executive Studio,1,Family,8.3,1,1,1,0,0,0,0,0,1,0,0.0006336722997564725
would have been great if it was clean and comfortable,"had to clean the shower before I used, hair on walls
coffee plunger still had coffee in from previous guest. dead bugs on light switch.
bed was terrible, like sleeping on wire","great location, beautiful outlook, great room facilities",5.0,May 2023,"June 9, 2023",One-Bedroom Apartment,1,Family,8.3,1,1,1,0,0,0,0,0,1,0,0.0006336722997564725
"Clean, spacious and comfortable",There wasn’t a portable heater available for a bedroom so couldn’t close the doors. Had a 2year old who sleeps with his door closed but couldn’t close it as the room was freezing.,"Clean, spacious, great view",8.0,July 2023,"July 7, 2023",Villa,1,Family,8.3,1,1,1,0,0,0,0,0,1,0,0.0006336722997564725
very family friendly. loved it!,me and my partner found our mattress really hard so didnt sleep too well. However the single beds were apparently comfortable according to our friends we stayed with. there is also a bit of a walk up a hill from the pool to the carpark.,"pool area was so good, so many different things on offer and although there is an extra fee to get in it does include a 45 min session in the private pools which was great :) room was very spacious and we had a fantastic view of the water.",9.0,July 2022,"August 11, 2022",Villa,1,Group,8.3,1,1,1,0,0,0,0,0,1,0,0.0006336722997564725
Good,Bedding is outdated,"Parking, room size, location",7.0,December 2023,"January 24, 2024",Chalet,1,Group,8.3,1,1,1,0,0,0,0,0,1,0,0.0006336722997564725
"acceptable accomodation for a lower rate, not the standard I was expecting.","The accommodation was not the standard I expected from the website. 
There was a strange smell in the room.
The heat pump did not work well, so the room remained cold throughout our stay. 
The pillows were flimsy. 
Windows were pouring with condensation, adding to the  feeling of coldness and perhaps the smell was from the dampness. 
I wouldn't stay here again unless I was bringing my own accomodation for the campsite!","The beds were comfortable, the location was good, and the pools were a nice facility to have onsite.",6.0,June 2022,"June 21, 2022",Two-Bedroom Apartment,3,Family,8.3,1,1,1,0,0,0,0,0,1,0,0.0006336722997564725
Will stay again,"2 single beds pushed together, fridge noise","Staff efficient and Friendly, Heat pump, room size, Easy to access as stop over from main road, Proximity to Hot pools",9.0,April 2022,"April 5, 2022",Studio,1,Couple,8.3,1,1,0,1,1,0,0,0,1,0,0.0006310765394210197
Very Good,"Minor things, but shower head was broken which made showering tricky. The main ranch slider window frames were moldy, an easy miss for cleaners though, we only noticed because we have a toddler down low.",Good location. Pools are great to have on site. Lovely staff. The view of the lake was lovely from the deck. Very comfy beds. Would definitely stay again!,8.0,February 2023,"February 25, 2023",Superior Double Room,1,Family,8.3,1,1,0,0,1,0,0,0,1,0,0.0006290129979847776
Pleasant,"Was not very clean, we stayed for two days and the rubbish wasn’t taken away. Couch was grubby. Would not stay again. Felt very outdated for what you pay.",The room was a good size and was very warm. Staff were nice and friendly. Great location.,6.0,July 2023,"July 24, 2023",Two-Bedroom Apartment,2,Family,8.3,1,1,0,0,1,0,0,0,1,0,0.0006290129979847776
"Family friendly, warm and fun.",A bit nit picky but the wash benches in the bathrooms are low. But other then that everything was awesome.,"Location, activities. Such a family friendly location but also there was something for mum and dad aswell.
Accomodation was clean, comfortable and warm. Perfect for what we needed. Staff were amazing and let us finalize things ahead of check in, rooms were serviced on demand.",8.0,August 2023,"August 22, 2023",Chalet,3,Family,8.3,1,1,0,0,1,0,0,0,1,0,0.0006290129979847776
Family friendly,"The main bed was just fine, but the bunk bed was quite uncomfortable","Tidy room, quiet location, nice pools and friendly staff",8.0,December 2023,"December 1, 2023",Standard Bungalow,4,Family,8.3,1,1,0,0,1,0,0,0,1,0,0.0006290129979847776
"We are aware it’s a camp ground type facility, but some small","There were no utensils to use the pots and pans to cook anything with.
Our bathroom was a bit grubby - dirty dishes, and stoned sheets, and the room hadn’t been cleaned well - there was lots of glitter and decorations from previous guests. 
Also surprised there was no shower curtain.","Loved the location, and the under floor heating! 
Comfy beds. Staff were super friendly and helpful.",7.0,October 2023,"October 19, 2023",Executive Studio,2,Family,8.3,1,1,0,0,1,0,0,0,1,0,0.0006290129979847776
We absolutely loved our stay at DeBretts and Taupo is amazing. Will definitely go again.,Shower was clean but not the outlet - yuk! And the microwave smelt of pizza. 🥺 A one off I hope! The aircon remote batteries were flat and it was cold one night. Couldn’t find another blanket.,"The view from our room was beautiful. Lovely for sundowners on the deck. Sunset was amazing.  The pool was awesome. Rooms were very clean. Kitchen too. 
Underfloor BC heating in the morning was awesome. 
Staff were very friendly,  helpful obliging.",8.0,March 2023,"March 8, 2023",Villa,2,Family,8.3,1,1,0,0,1,0,0,0,1,0,0.0006290129979847776
"Ordinary. Not like photos, wont be returning.","The accommodation wasnt clean, we could hear the occupants in the adjacent unit, there was no soap in bathroom but lots of soap scum, the bed was on a lean and very uncomfortable and pillows awful.",When we arrived at our room it was dirty and the shower leaked into the kitchen. The staff moved us to another room. This room had a nicer view and was larger.,5.0,September 2023,"September 13, 2023",Two-Bedroom Apartment,1,Family,8.3,1,1,0,0,1,0,0,0,1,0,0.0006290129979847776
Enjoyable but too far apart from family.,"As above. Would’ve liked to have been closer. Had 3 rooms, 2 were close but the 3rd was quite a distance away. The walk to the hot pools was a struggle (up hill). Also too many people in the pools. Having to be under 90 kegs for slides didn’t work for most of my family who are over 100kgs.",I liked the location and close proximity to other rooms family members potentially could’ve had. On this occasion we weren’t together but next time we will try to be. Staff were great.,8.0,June 2022,"June 7, 2022",Superior Double Room,2,Family,8.3,1,1,0,0,1,0,0,0,1,0,0.0006290129979847776
I'd return,Cleanliness requires alittle more attention.,"City central, the milk size was awesome and the towels were fluffy. Sharp knife, tidy room and good customer service. The discount for the pools.",7.0,January 2023,"January 13, 2023",Studio,2,Family,8.3,1,1,0,0,1,0,0,0,1,0,0.0006290129979847776
Very Good,"when we arrived there was a massive stain on the carpet which we presumed was permanent however after the room was serviced one day it was gone - so obviously the room hadn't been cleaned properly prior to our arrival

Both days clean towels were dropped off the door was not locked properly.","Loved having hot pools and massages on site.
3 Bedroom chalet with plenty of sleeping options and very private
Easy check in
Plenty of parking
Friendly office staff",8.0,June 2024,"June 4, 2024",Deluxe Three-Bedroom Chalet,3,Group,8.3,1,1,1,1,1,1,0,0,0,0,0.0006140284727111077
